Niveau,Structure hiérarchique,Code dela CNP 2021 v1.0,Titres de classes,Définitions de la classe
5,Groupe de base,12201,Experts/expertes en sinistres et rédacteurs/rédactrices sinistres,Les experts en sinistres examinent les circonstances qui entourent les sinistres et déterminent la valeur des pertes ou des dommages couverts par des polices d'assurance. Ils travaillent dans les services des réclamations des compagnies d'assurance ou comme experts indépendants. Les rédacteurs sinistres examinent des demandes d'indemnisation et autorisent des paiements. Ils travaillent au siège social ou dans des succursales des compagnies d'assurance.
5,Groupe de base,12202,Assureurs/assureures,Les assureurs étudient et évaluent les demandes d'assurance afin de déterminer les risques à couvrir et de fixer les primes ainsi que l'étendue des couvertures en fonction des politiques de la compagnie. Ils travaillent au siège social et dans les succursales des compagnies d'assurance.
5,Groupe de base,12203,"Estimateurs/estimatrices, évaluateurs/évaluatrices d'entreprise et autres évaluateurs/évaluatrices","Les estimateurs et les évaluateurs déterminent la valeur de terrains, d'entreprises, de domaines et d'autres biens immobiliers, à des fins de vente, d'achat, d'imposition ou d'aliénation des actifs. Les évaluateurs déterminent également la valeur des biens personnels et des articles ménagers. Les évaluateurs d'entreprise, quantifient la valeur d'une entreprise, de ses titres ou de ses actifs incorporels. Les estimateurs, les évaluateurs d'entreprise et les autres évaluateurs travaillent pour des organismes gouvernementaux, des sociétés immobilières et d'autres compagnies du secteur privé ou ils peuvent être des travailleurs autonomes."
2,Grand groupe,13,Personnel administratif et personnel de la logistique du transport,"Ce grand groupe comprend le personnel administratif, les coordonnateur/coordonnatrice de la logistique de la production et du transport et courtiers/courtières en douanes, et les autres professions de courtiers/courtières. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 3. Les professions du FEER 3, comme celles incluses dans ce grand groupe avec 3 comme deuxième chiffre dans leur code, exigent généralement l'achèvement d'un programme d'études postsecondaires de moins de deux ans dans un collège communautaire, un institut de technologie ou un cégep; ou l'achèvement d'un programme de formation en apprentissage de moins de deux ans; ou de la formation en cours d'emploi, cours de formation ou expérience de travail particulière de plus de six mois ou des études secondaires partielles; ou l'accumulation de plusieurs années d'expérience d'une profession connexe trouvée dans FEER 4, le cas échéant (FEER 4 inclut des professions avec 4 comme deuxième chiffre dans leur code)."
3,Sous-grand groupe,131,Personnel administratif,"Ce sous-grand groupe comprend le personnel administratif, y compris les agents/agentes d'administration, de gestion immobilière et de la paye, ainsi que les adjoints administratifs/adjointes administratives de bureau (général, juridique et médical)"
4,Sous-groupe,1310,"Agents/agentes d'administration, de gestion immobilière et de la paye","Ce sous-groupe comprend les agents/agentes d'administration, de gestion immobilière et de la paye, y compris les agents/agentes d'administration, les agents/agentes de gestion immobilière, et les administrateurs/administratrices de la paye. Ils/elles travaillent pour des gouvernements, des organismes gouvernementaux, des sociétés et des associations; des entreprises de gestion immobilière et de gestion des services de strates et des promoteurs immobiliers."
5,Groupe de base,13100,Agents/agentes d'administration,"Les agents d'administration supervisent et mettent en oeuvre des procédures administratives, établissent l'ordre de priorité des tâches, font des analyses d'opérations administratives et coordonnent l'acquisition de services administratifs, tels que les locaux à bureaux, les fournitures et les services de sécurité. Ils travaillent dans les secteurs public et privé. Ce groupe de base comprend les agents d'administration qui agissent en tant que superviseurs."
5,Groupe de base,13101,Agents/agentes de gestion immobilière,"Les agents de gestion immobilière administrent et coordonnent les activités liées à la gestion et à la location de biens immeubles, au nom des propriétaires et des propriétaires de strata. Ils travaillent pour des compagnies de gestion immobilières, des services de gestion strata, des promoteurs et le gouvernement."
5,Groupe de base,13102,Administrateurs/administratrices de la paye,"Les administrateurs de la paye rassemblent, vérifient et traitent des renseignements concernant la paye afin de déterminer la rémunération et les avantages sociaux à accorder aux employés, tiennent des registres de la paye précis et fournissent des informations relatives à la paye au sein d'un service, une entreprise ou un autre organisme. Ils travaillent dans des compagnies d'administration de la paye et des organismes des secteurs public et privé."
4,Sous-groupe,1311,"Adjoints administratifs/adjointes administratives de bureau - général, juridique et médical","Ce sous-groupe comprend les adjoints administratifs/adjointes administratives de bureau, tels que les adjoints/adjointes administratifs/administratives, adjoints/adjointes administratifs/administratives juridiques et les adjoints/adjointes administratifs/administratives médicaux/médicales. Ils/elles travaillent dans les cabinets d'avocat, les services juridiques de grandes entreprises, les sociétés immobilières, les bureaux de cadastre, les gouvernements fédéraux et provinciaux, les administrations municipales et les tribunaux; les cabinets de médecins, les centres hospitaliers, les cliniques médicales et d'autres milieux médicaux; et dans l'ensemble des secteurs public et privé."
5,Groupe de base,13110,Adjoints administratifs/adjointes administratives,Les adjoints administratifs effectuent des tâches administratives pour épauler les gestionnaires et les professionnels. Ils travaillent dans les secteurs privé et public.
